location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km
Electronic City,12.8447,77.6559,South,Villa,3,1740,7650,4749,5204,5917,6728,7650,15.05,No,0.9,16.7,53.4
Rajarajeshwari Nagar,12.9256,77.5075,West,Builder Floor,2,870,7350,5578,5880,6334,6823,7350,7.38,Yes,16.3,8.5,43.9
ITPL,12.9822,77.7321,East,Builder Floor,3,2070,10400,6624,7223,8156,9210,10400,11.64,No,1.6,13,38.5
ITPL,12.9836,77.7255,East,Apartment,1,670,11700,7451,8125,9175,10361,11700,13.94,No,1.6,14.6,35.8
Sarjapur Road,12.9024,77.6862,East,Villa,2,1330,12350,7476,8233,9425,10789,12350,12.65,No,4.5,10.9,46
Malleshwaram,13.0025,77.5689,North,Apartment,3,1370,14000,12730,12962,13299,13645,14000,2.9,Yes,14.2,3.5,29.6
Yelahanka,13.1044,77.6008,North,Apartment,1,550,9800,5605,6242,7255,8432,9800,14.25,No,21.7,5.4,12.4
Thanisandra,13.0651,77.6297,North,Builder Floor,3,1720,9100,5746,6276,7103,8040,9100,11.74,No,11.9,7.5,18.6
Hebbal,13.0347,77.5921,North,Apartment,2,860,16150,10843,11703,13029,14506,16150,11.37,No,11,7.6,17.5
Malleshwaram,13.0013,77.5679,North,Apartment,1,550,12800,11640,11852,12160,12476,12800,2.87,Yes,13.4,3.3,28
Whitefield,12.9666,77.7466,East,Apartment,4,2700,13950,6052,7117,8907,11147,13950,24.92,Yes,2.2,14.4,39.6
Varthur,12.9433,77.7486,East,Apartment,2,1200,7350,4847,5250,5873,6570,7350,12.81,No,3.2,14,45
HSR Layout,12.9097,77.6397,South,Apartment,2,870,13150,7643,8484,9819,11363,13150,16.48,No,5.8,7.2,42.5
Banashankari,12.9266,77.5527,South,Apartment,1,600,8700,6805,7131,7620,8142,8700,7.2,Yes,10.8,5.1,34.6
Varthur,12.948,77.7459,East,Apartment,2,1330,7350,4847,5250,5873,6570,7350,11.88,No,3.8,13.5,44.8
Electronic City,12.842,77.6639,South,Apartment,2,1080,7050,4376,4796,5453,6200,7050,13.05,No,0.7,19.4,60.1
KR Puram,13.0058,77.6951,East,Apartment,3,2010,9050,4758,5387,6404,7613,9050,17.08,Yes,7,6.6,38.3
Gottigere,12.868,77.5985,South,Apartment,1,610,6850,5049,5352,5811,6309,6850,8.34,No,9.6,9.7,47.5
Gottigere,12.8722,77.5965,South,Villa,3,2020,6450,4755,5040,5472,5941,6450,9.84,No,10.1,9.6,43.6
Banashankari,12.933,77.5525,South,Apartment,2,1050,8200,6413,6721,7182,7674,8200,6.04,Yes,10.3,4.8,35
HSR Layout,12.9133,77.6342,South,Apartment,2,880,13150,7643,8484,9819,11363,13150,14.31,No,5.1,7.2,39.6
Hulimavu,12.8909,77.6146,South,Apartment,1,640,7250,5242,5577,6087,6643,7250,8.54,No,7.5,8.5,41.6
JP Nagar,12.9103,77.5876,South,Apartment,2,1300,8750,6326,6731,7346,8017,8750,8.55,Yes,8.9,6.9,40
Koramangala,12.939,77.6259,South,Apartment,4,3340,22350,13991,15308,17366,19701,22350,14.18,No,5.5,5.2,37.4
ITPL,12.988,77.73,East,Apartment,2,1240,11650,7419,8090,9136,10317,11650,11.81,No,1.5,13,40.8
Manyata Tech Park,13.0416,77.6186,North,Apartment,1,670,12500,8243,8928,9988,11174,12500,12.69,No,0.5,6.9,19.1
Sarjapur Road,12.8996,77.6895,East,Apartment,1,690,12150,7355,8100,9272,10614,12150,15.18,No,4.2,12.8,41.8
Gottigere,12.8733,77.6007,South,Apartment,3,2000,7250,5343,5664,6150,6677,7250,8.68,No,9.2,9.6,47.9
Nagarbhavi,12.9606,77.5036,West,Villa,3,1460,6150,5013,5212,5508,5820,6150,5.46,No,16.2,7.2,44.7
MG Road,12.9721,77.6024,Central,Apartment,1,550,14750,12023,12500,13209,13958,14750,4.96,Yes,12.7,3.3,36.1
JP Nagar,12.9098,77.5863,South,Apartment,3,2180,10100,7302,7769,8479,9254,10100,8.51,Yes,9.2,6.9,43.8
Frazer Town,12.9802,77.6136,Central,Apartment,2,1260,11950,9949,10302,10824,11373,11950,5.49,No,10.1,3.9,37.7
Electronic City,12.8415,77.6553,South,Apartment,1,630,7500,4655,5102,5801,6596,7500,13.51,No,0.8,17.1,51.1
Sarjapur Road,12.9034,77.6909,East,Apartment,3,1840,12300,7446,8200,9387,10745,12300,16.21,No,4.4,11.7,47.9
Bannerghatta Road,12.8776,77.5936,South,Apartment,4,2840,10300,6448,7055,8003,9079,10300,11.88,No,8.5,5.9,43.9
Frazer Town,12.9752,77.6161,Central,Builder Floor,2,870,12450,10365,10733,11277,11849,12450,4.96,No,10.6,3.4,34.3
Sarjapur Road,12.8983,77.6828,East,Apartment,3,1440,12450,7537,8300,9501,10876,12450,16.62,No,4.1,12.1,47.7
Rajajinagar,12.9877,77.5577,West,Apartment,3,1890,13350,10658,11125,11822,12563,13350,7.1,Yes,11.3,4,33.1
Sarjapur Road,12.8965,77.6848,East,Apartment,2,1290,12050,7294,8033,9196,10527,12050,15.19,No,4.1,13.2,41.6
Frazer Town,12.977,77.61,Central,Apartment,2,1020,11200,9323,9654,10144,10659,11200,4.64,No,11.5,3.4,34.1
Bannerghatta Road,12.8799,77.6015,South,Apartment,2,1030,9100,5697,6233,7071,8022,9100,12.82,No,7.6,6.7,39.5
Kanakapura Road,12.8674,77.5904,South,Villa,1,600,8750,6036,6481,7163,7917,8750,9.93,Yes,7.6,8.4,45.5
Thanisandra,13.0653,77.6246,North,Apartment,2,990,10000,6314,6897,7806,8835,10000,14.93,No,13.1,7,21.3
Varthur,12.9504,77.7436,East,Apartment,3,2180,8050,5309,5750,6433,7196,8050,12.8,No,3.8,12.8,39
Banashankari,12.9321,77.5524,South,Apartment,2,1040,8750,6844,7172,7664,8189,8750,6.79,Yes,11.1,5.4,35.4
HSR Layout,12.9165,77.6355,South,Apartment,3,1340,13200,7671,8516,9856,11406,13200,13.88,No,5.2,7.9,43.7
KR Puram,13.0068,77.6982,East,Builder Floor,2,1040,9900,5205,5893,7005,8328,9900,16.17,Yes,6.6,6.7,38.1
Whitefield,12.9745,77.7485,East,Apartment,4,2050,13950,6052,7117,8907,11147,13950,26.8,Yes,1.9,15.2,45
Electronic City,12.844,77.659,South,Apartment,2,900,7600,4717,5170,5878,6684,7600,14.97,No,0.9,19.6,50.3
Kengeri,12.9193,77.488,West,Apartment,3,1570,6200,4849,5082,5430,5802,6200,7.59,Yes,22,8.4,40.4
Malleshwaram,13.0067,77.5708,North,Apartment,3,2130,13250,12049,12268,12587,12914,13250,2.22,Yes,14.2,3.7,29.5
Rajajinagar,12.9864,77.5523,West,Builder Floor,3,1490,14000,11177,11667,12398,13175,14000,5.59,Yes,12.7,4,29.6
Malleshwaram,13.0002,77.5719,North,Apartment,3,2110,14450,13140,13379,13727,14084,14450,2.72,Yes,15.4,3.6,27.4
ITPL,12.9816,77.732,East,Builder Floor,3,2070,10500,6687,7292,8234,9298,10500,13.81,No,1.4,12.2,36.6
Hennur,13.0389,77.6393,North,Builder Floor,2,940,7850,5270,5688,6333,7051,7850,9.78,No,11.2,7.4,21.8
Sarjapur Road,12.9055,77.6901,East,Apartment,3,2050,11200,6779,7466,8547,9784,11200,13.99,No,4.5,12.3,41.8
Yelahanka,13.0992,77.5973,North,Villa,2,1290,10350,5920,6592,7662,8905,10350,16.41,No,23.8,5.4,13.4
Rajarajeshwari Nagar,12.9246,77.5093,West,Apartment,3,1300,7650,5806,6120,6593,7102,7650,7.53,Yes,14.6,8.8,40.9
Varthur,12.9493,77.7518,East,Builder Floor,3,1830,7350,4847,5250,5873,6570,7350,10.96,No,3.2,12.8,45.2
Malleshwaram,13.0033,77.5689,North,Villa,3,1740,13750,12505,12732,13063,13402,13750,2.46,Yes,13,3.8,25.5
HSR Layout,12.9156,77.6403,South,Builder Floor,3,1910,14200,8252,9161,10602,12270,14200,17.56,No,5.6,7.8,44.2
Anjanapura,12.851,77.5676,South,Apartment,3,2110,5750,4408,4637,4982,5352,5750,7.16,No,13,9.6,46.5
Nagarbhavi,12.9621,77.4999,West,Apartment,2,860,6050,4931,5127,5418,5725,6050,5.62,No,16,7.2,42.1
Kengeri,12.9162,77.4856,West,Builder Floor,2,850,5700,4458,4672,4992,5334,5700,6.28,Yes,21.3,9.7,40.3
Hebbal,13.036,77.5979,North,Villa,4,2340,15300,10271,11086,12343,13742,15300,9.73,No,9.7,8.7,17.5
Devanahalli,13.2507,77.7144,North,Apartment,3,1390,9500,5107,5757,6803,8039,9500,19.01,No,30,7.4,7.5
Hebbal,13.0377,77.5978,North,Apartment,4,3390,16550,11111,11993,13352,14865,16550,12.17,No,10.2,7.6,16.4
Bellandur,12.9301,77.6744,East,Villa,3,1490,12600,7502,8289,9531,10959,12600,15.92,No,3.7,11.5,39.4
Manyata Tech Park,13.0444,77.6219,North,Apartment,2,880,11100,7320,7928,8869,9922,11100,11.67,No,0.5,7.2,18.2
HSR Layout,12.9127,77.6373,South,Apartment,2,1130,14150,8224,9129,10565,12227,14150,13.71,No,5.5,7.2,44.5
Anjanapura,12.8604,77.5673,South,Villa,3,1860,6100,4676,4919,5285,5678,6100,8.42,No,13.2,10.1,46.1
Kanakapura Road,12.8635,77.5846,South,Builder Floor,3,1890,8400,5795,6222,6877,7600,8400,9.09,Yes,7.8,8,43.7
KR Puram,13.0029,77.6931,East,Apartment,3,2090,8800,4627,5238,6227,7403,8800,18.57,Yes,6.5,7.4,38.3
Frazer Town,12.9751,77.619,Central,Apartment,2,1300,11150,9282,9612,10100,10612,11150,5.58,No,10.3,3.6,37.1
Rajarajeshwari Nagar,12.9179,77.5063,West,Apartment,2,980,7000,5313,5600,6032,6498,7000,8.78,Yes,15.7,8.1,45
Hoodi,12.9871,77.7202,East,Villa,3,1700,11300,7322,7957,8944,10053,11300,12.32,Yes,4.2,12.6,39.8
Hebbal,13.0349,77.5961,North,Apartment,3,2120,17200,11547,12463,13876,15449,17200,11.94,No,9.9,8,16.7
Kengeri,12.9108,77.4898,West,Builder Floor,2,1250,5950,4654,4877,5211,5568,5950,6.58,Yes,21,8.5,44.5
Frazer Town,12.9798,77.6126,Central,Apartment,3,1690,12550,10447,10818,11367,11944,12550,5.11,No,11.4,3.8,38.6
Rajajinagar,12.9894,77.5573,West,Builder Floor,2,1090,12450,9939,10375,11025,11716,12450,5.68,Yes,12.1,3.9,31.2
JP Nagar,12.9074,77.5841,South,Builder Floor,2,1050,9000,6506,6922,7555,8246,9000,9.84,Yes,9.3,6.3,42.3
Richmond Town,12.965,77.5966,Central,Apartment,3,1790,14100,11029,11558,12350,13196,14100,6.86,Yes,10.3,3,34.5
Gottigere,12.8752,77.5961,South,Builder Floor,2,930,6450,4755,5040,5472,5941,6450,7.75,No,10.8,8.4,42.9
Richmond Town,12.9665,77.6036,Central,Apartment,2,1320,15050,11772,12337,13182,14085,15050,7.48,Yes,12.2,2.7,32.3
Hennur,13.0346,77.6415,North,Apartment,3,2000,9100,6110,6595,7342,8174,9100,10.09,No,10.5,7.5,22.6
Nagarbhavi,12.9616,77.5021,West,Apartment,2,920,6150,5013,5212,5508,5820,6150,6.44,No,17.6,6.4,40.1
Banashankari,12.9314,77.554,South,Apartment,3,2080,8650,6765,7090,7576,8095,8650,7.87,Yes,10.9,5.3,35.2
Bellandur,12.9229,77.6795,East,Apartment,3,1540,13850,8247,9112,10477,12046,13850,17.22,No,4.1,11.1,46.4
Jayanagar,12.9278,77.5982,South,Apartment,2,930,16250,11421,12218,13436,14776,16250,11.13,Yes,9.1,3.9,40.1
Jayanagar,12.9292,77.5956,South,Villa,2,970,16000,11245,12030,13230,14549,16000,8.8,Yes,8.9,3.6,36.6
Koramangala,12.9366,77.6241,South,Apartment,4,2350,22250,13929,15240,17289,19613,22250,12.36,No,5.1,5,39.1
Thanisandra,13.0631,77.6271,North,Apartment,1,540,9250,5840,6379,7220,8172,9250,14.21,No,11.2,7,21.7
RT Nagar,13.0226,77.5869,North,Builder Floor,2,860,7400,6227,6435,6742,7063,7400,5.3,No,13.8,5.1,23.7
Electronic City,12.8434,77.6635,South,Builder Floor,1,700,7250,4500,4932,5608,6376,7250,12.68,No,0.8,18.5,55.4
JP Nagar,12.9099,77.5894,South,Apartment,1,640,9300,6723,7153,7807,8521,9300,10.25,Yes,9.6,6.6,38.6
Kanakapura Road,12.8679,77.5844,South,Builder Floor,3,1460,7950,5484,5888,6508,7193,7950,9.98,Yes,8.5,8.3,41.1
JP Nagar,12.9089,77.5875,South,Builder Floor,2,960,9150,6616,7039,7682,8384,9150,8.23,Yes,9.5,6.3,39.4
Frazer Town,12.9736,77.6108,Central,Builder Floor,1,580,12400,10323,10689,11231,11801,12400,5.38,No,10.2,3.8,34.9
ITPL,12.9847,77.7225,East,Villa,2,1240,10350,6591,7187,8116,9165,10350,11.31,No,1.4,14,37
Sarjapur Road,12.9058,77.685,East,Apartment,3,1480,12100,7325,8067,9234,10570,12100,16.63,No,4.8,11.7,46.9
Devanahalli,13.2437,77.7091,North,Apartment,2,1020,8400,4517,5091,6016,7109,8400,16.27,No,32.4,8.6,7.9
Bannerghatta Road,12.8789,77.5976,South,Apartment,4,3010,10400,6510,7123,8081,9167,10400,12.16,No,8.7,6.1,44.8
Varthur,12.9431,77.7449,East,Apartment,2,1090,8000,5276,5714,6392,7151,8000,10.73,No,3.2,13.4,44.8
Hoodi,12.9841,77.7193,East,Apartment,3,2090,10600,6869,7465,8391,9431,10600,12.36,Yes,4,13,38.5
Hulimavu,12.8967,77.6146,South,Apartment,2,880,7050,5097,5423,5919,6460,7050,8.71,No,7.2,8.7,45.9
Hulimavu,12.8981,77.6174,South,Builder Floor,3,2070,7550,5459,5808,6339,6918,7550,8.04,No,7,8.6,42.7
Rajajinagar,12.9885,77.5556,West,Apartment,3,1820,14350,11457,11959,12708,13504,14350,6.8,Yes,12.9,3.9,31.8
Richmond Town,12.9647,77.6003,Central,Apartment,3,2080,13950,10911,11434,12218,13055,13950,7.76,Yes,11.2,2.7,37.6
MG Road,12.9772,77.605,Central,Apartment,3,1780,15700,12797,13305,14060,14857,15700,5.34,Yes,11.7,2.8,34.8
Whitefield,12.9726,77.7511,East,Apartment,1,630,14150,6139,7220,9035,11307,14150,24.59,Yes,2.2,15.3,40.9
Richmond Town,12.9669,77.6047,Central,Apartment,2,1310,14900,11654,12213,13050,13944,14900,6.93,Yes,11.4,2.7,32
Bannerghatta Road,12.8766,77.5949,South,Apartment,2,1090,10400,6510,7123,8081,9167,10400,14.12,No,8.3,6.3,39.7
Nagarbhavi,12.9631,77.5059,West,Apartment,1,660,6100,4973,5170,5463,5773,6100,6.2,No,17.8,7.2,38.1
Bannerghatta Road,12.882,77.5998,South,Builder Floor,2,1220,9950,6230,6816,7732,8771,9950,11.67,No,8,6.5,40.3
HSR Layout,12.9086,77.6434,South,Apartment,1,680,13900,8079,8968,10379,12011,13900,14.08,No,6.2,7.1,39.9
Indiranagar,12.98,77.6394,East,Villa,3,1340,20650,13864,14964,16660,18548,20650,12.25,Yes,6.8,4.5,36.3
JP Nagar,12.9039,77.5868,South,Apartment,2,990,9700,7013,7462,8144,8888,9700,8.18,Yes,9.1,7.1,41.3
Marathahalli,12.9602,77.7006,East,Apartment,2,980,8900,5619,6138,6947,7863,8900,11.97,No,3.2,10.8,38.5
Richmond Town,12.9603,77.6045,Central,Apartment,2,990,14000,10951,11476,12262,13102,14000,6.69,Yes,12,2.7,36.1
Koramangala,12.9396,77.6206,South,Apartment,2,1050,22200,13898,15206,17250,19569,22200,14.75,No,5,5.1,39
Malleshwaram,13.0023,77.5707,North,Builder Floor,3,1810,12800,11640,11852,12160,12476,12800,2.84,Yes,13.5,3.2,27.5
Anjanapura,12.8519,77.5688,South,Builder Floor,1,460,6350,4868,5121,5502,5911,6350,7.08,No,12,10,45.8
Nagarbhavi,12.9578,77.5052,West,Apartment,1,620,6500,5299,5509,5821,6151,6500,5.22,No,18,6.6,39.1
JP Nagar,12.9046,77.5851,South,Apartment,2,1140,9700,7013,7462,8144,8888,9700,8.63,Yes,9.2,6.3,40.3
Rajarajeshwari Nagar,12.9181,77.5072,West,Builder Floor,3,1890,7150,5426,5719,6161,6637,7150,7.27,Yes,13.5,8.5,45.8
Devanahalli,13.2511,77.7107,North,Builder Floor,2,1210,8550,4598,5183,6124,7236,8550,19.08,No,27.8,7.3,8.8
Rajajinagar,12.9928,77.5531,West,Apartment,3,1570,13700,10937,11417,12132,12892,13700,5.93,Yes,13.1,4.2,30.8
KR Puram,13.0109,77.6987,East,Apartment,2,1080,9800,5153,5834,6935,8244,9800,16.95,Yes,6.5,6.9,34.7
Hoodi,12.98,77.7142,East,Apartment,2,1120,10800,6999,7606,8549,9609,10800,10.75,Yes,3.9,11.1,35.4
Devanahalli,13.2446,77.7095,North,Apartment,2,1250,9200,4947,5576,6589,7786,9200,19.55,No,29,8.1,8.7
Thanisandra,13.0576,77.6279,North,Apartment,3,2060,9700,6125,6690,7572,8570,9700,12.24,No,12.2,7.6,18.2
Kengeri,12.9199,77.4898,West,Villa,1,590,6000,4693,4918,5255,5615,6000,7.15,Yes,20.8,8.8,39.7
Rajarajeshwari Nagar,12.9186,77.5057,West,Apartment,1,520,7300,5541,5840,6291,6777,7300,7.13,Yes,15.4,8.8,38.5
Thanisandra,13.0645,77.6257,North,Apartment,1,480,9750,6156,6724,7611,8614,9750,11.55,No,11.5,7.3,20.3
Manyata Tech Park,13.0456,77.6218,North,Apartment,2,1140,12450,8211,8893,9948,11129,12450,12.12,No,0.5,7.4,18.4
MG Road,12.9735,77.6049,Central,Apartment,3,1780,15600,12716,13221,13971,14763,15600,5.2,Yes,12.7,3.2,36.8
Gottigere,12.8752,77.5982,South,Apartment,1,640,7150,5270,5586,6065,6585,7150,9.67,No,11,8.4,48.5
Anjanapura,12.8529,77.5689,South,Apartment,2,930,6100,4676,4919,5285,5678,6100,6.77,No,12.7,10,51.7
Anjanapura,12.8536,77.5656,South,Builder Floor,2,1150,6600,5059,5322,5718,6143,6600,6.99,No,12.1,10.2,49
Koramangala,12.9368,77.6204,South,Apartment,3,1950,22000,13773,15069,17095,19393,22000,13.11,No,4.7,4.7,37.2
Kanakapura Road,12.8663,77.5854,South,Builder Floor,3,1920,8050,5555,5964,6591,7284,8050,9.07,Yes,8.7,7.7,46
Kanakapura Road,12.8595,77.581,South,Builder Floor,3,1340,9100,6279,6741,7450,8234,9100,9.64,Yes,7.5,8.6,47.7
Gottigere,12.8741,77.5961,South,Villa,1,570,6550,4827,5117,5556,6033,6550,7.45,No,10.8,8.7,43.9
Indiranagar,12.9799,77.6383,East,Apartment,3,1740,18450,12387,13370,14885,16572,18450,10.57,Yes,7.3,3.9,37.1
Kanakapura Road,12.8588,77.5851,South,Apartment,1,510,8500,5865,6297,6959,7691,8500,10.31,Yes,7.5,7.8,48.2
Devanahalli,13.2509,77.7168,North,Apartment,2,1240,8700,4677,5272,6230,7362,8700,20.46,No,31.4,8.1,7.3
JP Nagar,12.9085,77.5881,South,Builder Floor,2,960,9050,6543,6962,7598,8292,9050,9.53,Yes,8.4,6.6,36.1
MG Road,12.9787,77.6019,Central,Villa,3,1470,16600,13531,14068,14866,15709,16600,6.23,Yes,13.1,2.9,38.4
Rajajinagar,12.9928,77.5506,West,Apartment,2,1180,13850,11057,11542,12265,13033,13850,5.44,Yes,13,4.3,31
Malleshwaram,13.0057,77.569,North,Villa,2,1340,14250,12958,13194,13537,13889,14250,2.46,Yes,13.7,3.4,28.1
KR Puram,13.0106,77.6936,East,Apartment,2,1110,9200,4837,5476,6510,7739,9200,19.98,Yes,6.2,7.2,37.2
Banashankari,12.9319,77.5554,South,Builder Floor,1,700,7950,6218,6516,6963,7440,7950,7.55,Yes,10.9,5.2,38.5
Hulimavu,12.8944,77.6157,South,Apartment,2,1280,7600,5495,5847,6381,6964,7600,8.07,No,7.7,8.8,42.1
Thanisandra,13.0603,77.6307,North,Apartment,3,1340,9700,6125,6690,7572,8570,9700,12.86,No,11.3,7.4,19
Sarjapur Road,12.9055,77.6875,East,Apartment,2,870,12400,7507,8267,9463,10832,12400,16.15,No,4.9,12.1,40.5
Hebbal,13.0303,77.5937,North,Apartment,2,1140,15800,10607,11449,12747,14192,15800,10.8,No,9.8,8.6,16.6
Kengeri,12.9185,77.4865,West,Apartment,2,1010,5500,4302,4508,4817,5147,5500,6.37,Yes,21.3,9.3,40.3
Electronic City,12.8499,77.6621,South,Apartment,3,1710,6650,4128,4524,5144,5849,6650,13.93,No,0.8,17.3,53
Yelahanka,13.098,77.6013,North,Apartment,2,1090,9650,5520,6147,7144,8303,9650,15.48,No,20.4,5.5,12.4
Indiranagar,12.9782,77.6366,East,Apartment,3,2000,18700,12554,13550,15086,16796,18700,11.07,Yes,6.5,4,36
Rajajinagar,12.989,77.5484,West,Apartment,4,3410,13000,10378,10833,11512,12233,13000,5.4,Yes,13.5,4.3,33.1
Sarjapur Road,12.9023,77.684,East,Apartment,2,1060,12400,7507,8267,9463,10832,12400,15.8,No,4.8,12.2,43.6
Bellandur,12.9213,77.6823,East,Apartment,3,1300,12250,7294,8059,9266,10654,12250,13.75,No,3.7,11.3,47.5
ITPL,12.9835,77.7274,East,Apartment,2,1320,11800,7514,8194,9253,10449,11800,12.27,No,1.5,13.4,42.8
Koramangala,12.9313,77.6291,South,Apartment,4,2080,20650,12927,14144,16046,18203,20650,14.74,No,4.9,5,37.7
Thanisandra,13.0603,77.6313,North,Apartment,2,1080,9250,5840,6379,7220,8172,9250,11.29,No,11.7,7.4,18.1
Manyata Tech Park,13.0473,77.6251,North,Apartment,2,1140,11250,7419,8035,8989,10056,11250,12.11,No,0.5,7,18.5
KR Puram,13.0053,77.699,East,Apartment,2,1040,9800,5153,5834,6935,8244,9800,17.47,Yes,6.4,7.4,31.7
JP Nagar,12.91,77.5862,South,Villa,2,1190,9800,7085,7538,8227,8979,9800,8.82,Yes,9.4,7.1,36.5
Varthur,12.9446,77.7453,East,Apartment,2,1320,7350,4847,5250,5873,6570,7350,13.51,No,3.6,11.7,43.6
Anjanapura,12.859,77.5704,South,Apartment,3,2160,6150,4714,4959,5328,5724,6150,8.42,No,11,10.7,43.7
KR Puram,13.0119,77.6947,East,Apartment,1,600,9700,5100,5774,6864,8160,9700,20.29,Yes,6.9,7.4,37.5
Bannerghatta Road,12.8777,77.5993,South,Builder Floor,3,2130,9050,5666,6199,7032,7977,9050,15.21,No,7.9,6,47
Gottigere,12.8699,77.5979,South,Apartment,3,1910,7100,5232,5546,6022,6539,7100,7.56,No,9.3,8.7,46.2
Rajarajeshwari Nagar,12.9241,77.5103,West,Apartment,3,2190,7900,5996,6320,6808,7334,7900,7.67,Yes,14,9,39
Hulimavu,12.9,77.6176,South,Apartment,2,1270,7400,5350,5692,6212,6780,7400,7.89,No,8.1,8.7,45.1
Bellandur,12.9253,77.678,East,Apartment,3,1510,13100,7800,8618,9909,11393,13100,16.78,No,4.1,10.3,40.5
Anjanapura,12.8519,77.567,South,Builder Floor,2,970,5800,4446,4677,5025,5399,5800,7.28,No,13.2,10.5,49.8
Thanisandra,13.0585,77.6278,North,Apartment,1,550,8900,5619,6138,6947,7863,8900,12.86,No,12.5,7,19.8
Anjanapura,12.8537,77.5703,South,Apartment,3,2060,5850,4484,4717,5068,5445,5850,6.86,No,10.8,10.6,48.6
Marathahalli,12.9603,77.7012,East,Apartment,3,1960,9150,5777,6310,7142,8084,9150,14.1,No,3.4,10.1,39.6
Varthur,12.9503,77.7505,East,Apartment,1,630,7400,4881,5286,5913,6615,7400,13.25,No,3.8,12.7,44
Devanahalli,13.2484,77.716,North,Apartment,3,1440,8450,4544,5122,6052,7151,8450,20.42,No,31.8,8.7,8.2
Manyata Tech Park,13.0505,77.6219,North,Builder Floor,2,1150,12500,8243,8928,9988,11174,12500,13.11,No,0.5,7.5,19.5
Varthur,12.9426,77.7513,East,Apartment,1,510,7650,5045,5464,6113,6838,7650,10.63,No,3.7,12.8,39.9
Nagarbhavi,12.9672,77.5001,West,Builder Floor,1,610,6300,5135,5339,5642,5962,6300,5.98,No,19,7.1,38.2
Kengeri,12.9151,77.4835,West,Apartment,1,660,5450,4263,4467,4773,5100,5450,7.16,Yes,21,9.5,46.6
KR Puram,13.0072,77.6972,East,Apartment,1,680,10150,5336,6041,7182,8538,10150,16.2,Yes,6.8,6.7,37.9
Anjanapura,12.8558,77.5739,South,Builder Floor,2,1060,6500,4982,5241,5631,6050,6500,6.93,No,13.1,9.6,49.1
Frazer Town,12.9754,77.6117,Central,Apartment,2,940,12750,10615,10992,11549,12135,12750,4.74,No,9.8,3.5,38.1
Hebbal,13.0364,77.5946,North,Apartment,3,1910,15350,10305,11123,12384,13787,15350,12.62,No,10.1,7.6,19.2
Koramangala,12.9309,77.6278,South,Apartment,4,2820,21700,13585,14863,16861,19128,21700,15.15,No,4.6,5,38.9
Anjanapura,12.8607,77.5691,South,Builder Floor,1,690,6350,4868,5121,5502,5911,6350,7.17,No,11.1,10.8,48.6
Electronic City,12.8461,77.6596,South,Apartment,2,940,7250,4500,4932,5608,6376,7250,14.15,No,0.8,17,55.5
Hulimavu,12.893,77.6116,South,Builder Floor,2,990,6800,4916,5231,5709,6231,6800,8.6,No,7.7,8.5,42.1
Whitefield,12.9718,77.7539,East,Apartment,3,1730,15250,6616,7780,9737,12186,15250,26.72,Yes,1.8,15.7,41.1
Bannerghatta Road,12.8801,77.6013,South,Villa,2,1220,9850,6167,6747,7654,8683,9850,12.56,No,8.1,7,38.9
Thanisandra,13.0609,77.6311,North,Apartment,1,470,9100,5746,6276,7103,8040,9100,12.62,No,12,6.7,20.9
Rajarajeshwari Nagar,12.92,77.512,West,Builder Floor,2,1060,7300,5541,5840,6291,6777,7300,8.07,Yes,16.3,7.9,39.6
JP Nagar,12.9063,77.5804,South,Apartment,2,960,9000,6506,6922,7555,8246,9000,8.97,Yes,9.4,6.5,40
Devanahalli,13.244,77.7107,North,Apartment,1,520,9550,5135,5788,6839,8082,9550,17.65,No,28.8,8,8.8
Anjanapura,12.8576,77.5716,South,Apartment,2,990,6250,4791,5040,5415,5818,6250,7.66,No,11.9,10.2,48.9
Hebbal,13.0376,77.5954,North,Apartment,3,1650,17200,11547,12463,13876,15449,17200,9.75,No,10.1,8.1,18.5
Kengeri,12.916,77.4894,West,Builder Floor,2,1020,6100,4771,5000,5343,5709,6100,6.05,Yes,20.3,8.8,44.9
Hulimavu,12.8936,77.6133,South,Builder Floor,2,930,7550,5459,5808,6339,6918,7550,8.74,No,6.8,7.8,41.5
ITPL,12.9887,77.7302,East,Apartment,1,630,10450,6655,7257,8195,9254,10450,11.72,No,1.4,14,42.2
Koramangala,12.9326,77.625,South,Apartment,3,1940,23700,14837,16233,18415,20891,23700,11.76,No,5.5,4.7,39.7
Hennur,13.0425,77.6361,North,Apartment,2,1080,7900,5304,5725,6374,7096,7900,12.29,No,12.1,7.6,21.2
Jayanagar,12.9257,77.5983,South,Apartment,2,1330,14350,10086,10790,11866,13049,14350,10.44,Yes,9.5,3.5,36.4
Gottigere,12.8726,77.5942,South,Apartment,1,510,6250,4605,4882,5301,5756,6250,8.98,No,10.6,8.9,46.5
Manyata Tech Park,13.0463,77.6196,North,Builder Floor,2,990,12050,7947,8607,9629,10772,12050,13.1,No,0.5,7.3,20.3
JP Nagar,12.9055,77.5885,South,Builder Floor,2,910,8900,6434,6846,7472,8155,8900,9.44,Yes,9.7,6.6,40.3
Sarjapur Road,12.9021,77.6812,East,Apartment,2,1080,11950,7233,7966,9119,10439,11950,14.71,No,4.8,11.1,39.9
