location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Bellandur,12.9225,77.6744,East,Villa,1,520,12900,7682,8487,9758,11220,12900,16.9,0,3.9,11.7,39.4,67.92501952616506,32.199221151875385,13.835796827877257,67.08,67.08,520.0,26.400000000000002,0.43283582089552236,0.5503934057699512,0.05688585349602299,0.3956521739130435,0.10461538461538461,1,2,3,14697.0,19037.0,24761.0,13.93,47.57,91.95,19.65,49.2,High Growth,2,Bellandur is among the fastest appreciating micro-markets with 15.0% YoY growth. Investment score: 46/100. Projected 3-year ROI: 47.6%. Ideal for growth-oriented investors with a medium horizon.,0
Thanisandra,13.0563,77.6255,North,Builder Floor,2,1070,9550,6030,6587,7455,8438,9550,11.76,0,12.4,7.3,19.3,58.374792703150916,28.101945003353457,12.181570289386755,102.185,51.0925,535.0,27.950000000000003,0.23283582089552238,0.35781191457474715,0.10561640222657173,0.4293478260869566,0.36615384615384616,2,1,31,10716.0,13533.0,17005.0,12.21,41.71,78.06,15.99,44.3,Stable,123,Thanisandra offers steady 13.1% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.7%.,0
Richmond Town,12.9609,77.5983,Central,Apartment,1,560,15350,12007,12583,13445,14366,15350,6.94,1,10.3,2.8,34.1,27.842092112934118,14.168835998512458,6.333098030422546,85.96,85.96,560.0,47.650000000000006,0.5791044776119403,0.1772199325590109,0.08309387970404919,0.857608695652174,0.30153846153846153,0,0,28,16321.0,18526.0,20812.0,6.33,20.69,35.58,8.53,37.3,Stable,66,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Varthur,12.9473,77.7441,East,Apartment,3,2100,7300,4814,5214,5833,6525,7300,13.2,0,3.6,13.1,46.1,51.64104694640631,25.1500085719184,10.96964419457258,153.3,51.1,700.0,23.349999999999998,0.09850746268656717,0.4117647058823529,0.17657102402865119,0.3293478260869565,0.09538461538461539,1,0,32,8092.0,9964.0,12319.0,10.85,36.49,68.75,15.41,44.4,Stable,33,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Koramangala,12.9369,77.6281,South,Apartment,3,1580,21900,13710,15000,17017,19305,21900,12.77,0,5.1,5.2,37.6,59.73741794310722,28.694834577187518,12.422092630787995,346.02,115.33999999999999,526.6666666666666,26.1,0.9701492537313433,0.39565380292244284,0.4440927830758339,0.3891304347826087,0.14153846153846153,3,0,19,24621.0,31112.0,39304.0,12.42,42.06,79.47,16.63,33.8,Premium,64,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Indiranagar,12.9778,77.6384,East,Villa,3,1700,19750,13259,14311,15933,17739,19750,10.81,1,7.6,4.5,34.5,48.95542650275285,23.956568129040356,10.475018341605114,335.75,111.91666666666667,566.6666666666666,50.15,0.8417910447761194,0.3222180591982017,0.4298366162772942,0.9119565217391304,0.21846153846153846,1,2,13,21813.0,26613.0,32454.0,10.45,34.75,64.32,13.98,44.0,Premium,96,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Gottigere,12.8727,77.6037,South,Builder Floor,1,650,6550,4827,5117,5556,6033,6550,8.88,0,9.9,9.3,45.5,35.69504868448312,17.89056875449964,7.929707552516763,42.575,42.575,650.0,17.35,0.05373134328358209,0.24990633195953546,0.022869556767861857,0.19891304347826091,0.28923076923076924,3,1,7,7056.0,8246.0,9545.0,7.73,25.89,45.73,10.8,32.8,Stable,51,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Varthur,12.9478,77.7524,East,Apartment,2,1340,6900,4551,4929,5514,6168,6900,12.19,0,3.5,12.6,42.3,51.615029663810155,25.13601741022851,10.964884081092062,92.46,46.23,670.0,25.35,0.07462686567164178,0.3739228175346572,0.09211677008287177,0.3728260869565218,0.09230769230769231,1,0,32,7644.0,9413.0,11614.0,10.78,36.42,68.32,15.0,44.4,Budget,33,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Manyata Tech Park,13.0487,77.6222,North,Apartment,3,2170,11300,7452,8071,9029,10101,11300,11.99,0,0.5,7.4,18.2,51.637144390767574,25.152287074980617,10.968930223324524,245.21,81.73666666666666,723.3333333333334,40.4,0.3373134328358209,0.3664293742974898,0.3041546939852025,0.7000000000000001,0.0,2,0,22,12563.0,15549.0,18966.0,11.18,37.6,67.84,14.92,48.3,High Potential,38,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Bannerghatta Road,12.8824,77.6001,South,Villa,4,3120,10200,6385,6986,7925,8991,10200,13.83,0,8.7,6.2,44.6,59.749412685982776,28.706624605678233,12.424203025681901,318.24,79.56,780.0,19.0,0.2716417910447761,0.43536905207943055,0.40553033773372754,0.23478260869565218,0.2523076923076923,3,2,2,11486.0,14474.0,18377.0,12.61,41.9,80.17,17.06,41.9,Stable,89,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Bannerghatta Road,12.8833,77.594,South,Builder Floor,1,470,8900,5571,6095,6915,7845,8900,13.52,0,8.8,6.6,45.8,59.755878657332616,28.705712219812003,12.425340620853875,41.83,41.83,470.0,18.3,0.19402985074626866,0.42375421506182087,0.021835394716750646,0.21956521739130438,0.25538461538461543,3,1,2,10045.0,12712.0,16047.0,12.87,42.83,80.3,16.93,42.3,Stable,79,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Varthur,12.9513,77.7442,East,Apartment,2,1310,7900,5210,5643,6313,7062,7900,12.64,0,3.2,13.7,45.6,51.631477927063344,25.138602882939963,10.967893521153593,103.49,51.745,655.0,24.0,0.13432835820895522,0.390783064818284,0.107427920987243,0.34347826086956523,0.08307692307692308,1,0,32,8766.0,10773.0,13209.0,10.96,36.37,67.2,15.18,43.2,Stable,73,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Sarjapur Road,12.9004,77.683,East,Builder Floor,3,1880,12350,7476,8233,9425,10789,12350,16.03,0,4.4,12.9,44.4,65.19529159978599,31.03448275862069,13.37033141826498,232.18,77.39333333333333,626.6666666666666,23.4,0.4,0.5177969276882728,0.2860672691181166,0.33043478260869563,0.12000000000000001,1,1,30,14011.0,17993.0,23150.0,13.45,45.69,87.45,18.85,46.3,High Growth,25,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Hebbal,13.0347,77.5973,North,Apartment,3,1940,16650,11179,12066,13433,14955,16650,9.86,0,9.6,8.4,16.7,48.939976742105735,23.948485074071314,10.472153593703881,323.01,107.67,646.6666666666666,32.05,0.6567164179104478,0.28662420382165604,0.41215175113480196,0.5184782608695652,0.27999999999999997,2,0,8,18365.0,22425.0,27389.0,10.3,34.68,64.5,13.6,35.7,Stable,124,"Hebbal commands premium pricing at Rs 16,039/sqft with a 11.4% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Rt Nagar,13.0226,77.5935,North,Builder Floor,3,1520,7800,6564,6783,7106,7445,7800,5.38,0,13.7,5.9,26.9,18.82998171846435,9.766394596115958,4.407454494661089,118.56,39.52,506.6666666666667,22.85,0.12835820895522387,0.11877107530910454,0.12834714529629784,0.31847826086956527,0.40615384615384614,2,1,29,8133.0,8895.0,9693.0,4.27,14.04,24.27,6.14,26.9,Stable,93,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Gottigere,12.8738,77.6026,South,Apartment,1,450,6500,4790,5078,5514,5987,6500,7.36,0,9.2,8.8,47.5,35.699373695198325,17.881755531374683,7.930567553612877,29.25,29.25,450.0,17.05,0.050746268656716415,0.1929561633570626,0.004372631491275557,0.19239130434782611,0.2676923076923077,3,0,7,7023.0,8177.0,9507.0,8.05,25.8,46.26,10.19,30.7,Stable,126,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Nagarbhavi,12.9643,77.5008,West,Villa,2,1120,6400,5216,5423,5731,6056,6400,5.96,0,19.4,7.5,39.1,22.699386503067483,11.673355435351597,5.247211423553755,71.68,35.84,560.0,11.05,0.04477611940298507,0.14050206069689022,0.06327128361026667,0.061956521739130466,0.5815384615384614,4,2,25,6733.0,7468.0,8313.0,5.2,16.69,29.89,7.14,23.4,Stable,62,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Gottigere,12.8733,77.6016,South,Apartment,2,950,6300,4643,4922,5344,5802,6300,9.44,0,10.4,9.5,44.0,35.68813267284084,17.889221556886227,7.928332304509889,59.85,29.925,475.0,17.6,0.03880597014925373,0.27088797302360434,0.046849623120809564,0.20434782608695656,0.3046153846153846,3,0,7,6799.0,7945.0,9259.0,7.92,26.11,46.97,11.02,34.0,Stable,15,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Whitefield,12.9684,77.7474,East,Builder Floor,2,1210,14850,6443,7577,9482,11866,14850,28.52,1,2.1,13.8,44.3,130.48269439702003,56.61252900232019,23.213864927245133,179.685,89.8425,605.0,50.75,0.5492537313432836,0.9857624578493819,0.21319701828176407,0.9249999999999999,0.04923076923076923,1,1,33,18316.0,27804.0,42204.0,23.34,87.23,184.2,33.69,89.3,High Growth,26,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Malleshwaram,13.0077,77.5671,North,Apartment,3,1560,14500,13186,13426,13775,14133,14500,2.5,1,14.3,3.4,25.8,9.965114515395115,5.263157894736842,2.403248237531308,226.2,75.39999999999999,520.0,47.8,0.5283582089552239,0.010865492693892847,0.2777662099695998,0.8608695652173912,0.4246153846153846,2,0,21,14827.0,15544.0,16320.0,2.26,7.2,12.55,3.16,29.0,Stable,96,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Richmond Town,12.9605,77.602,Central,Apartment,3,1370,14100,11029,11558,12350,13196,14100,7.21,1,11.2,2.7,37.6,27.844772871520533,14.17004048582996,6.333655458573495,193.17,64.39,456.6666666666667,45.0,0.5044776119402985,0.18733608092918697,0.2319160454753675,0.7999999999999999,0.3292307692307692,0,0,28,14989.0,16943.0,19234.0,6.3,20.16,36.41,8.64,37.5,Stable,58,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Hennur,13.0349,77.6411,North,Apartment,2,1180,8050,5405,5834,6495,7231,8050,12.92,0,12.2,8.0,21.0,48.93617021276596,23.941493456505004,10.471447739685736,94.99,47.495,590.0,27.3,0.14328358208955225,0.40127388535031855,0.09562875664570578,0.41521739130434787,0.36,2,0,9,8922.0,10888.0,13320.0,10.83,35.25,65.47,14.82,45.0,Stable,5,Hennur offers steady 11.2% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 64.4%.,0
Rt Nagar,13.0157,77.5923,North,Builder Floor,1,530,7300,6143,6348,6651,6968,7300,4.57,0,13.2,5.4,23.1,18.83444571056487,9.75793113817471,4.4084350289500085,38.69,38.69,530.0,25.25,0.09850746268656717,0.08842263019857627,0.017476644595288658,0.3706521739130435,0.39076923076923076,2,1,29,7613.0,8307.0,9045.0,4.29,13.79,23.9,5.81,27.6,Stable,48,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Nagarbhavi,12.9646,77.5059,West,Builder Floor,1,610,5950,4850,5043,5329,5631,5950,5.09,0,19.2,7.7,39.0,22.68041237113402,11.653218239819854,5.243142352088781,36.295,36.295,610.0,11.3,0.01791044776119403,0.1079055826152117,0.014152056524937881,0.06739130434782611,0.5753846153846154,4,1,25,6265.0,6931.0,7672.0,5.29,16.49,28.94,6.78,22.6,Stable,99,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Rajajinagar,12.9899,77.5537,West,Apartment,3,1720,12950,10338,10791,11467,12186,12950,6.17,1,12.1,4.0,33.0,25.26600889920681,12.932763582454,5.793335540650912,222.74,74.24666666666667,573.3333333333334,46.4,0.43582089552238806,0.14837017609591607,0.2729632560141035,0.8304347826086957,0.3569230769230769,4,0,26,13765.0,15380.0,17215.0,6.29,18.76,32.93,7.73,37.4,Stable,73,Rajajinagar offers steady 6.3% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 32.6%.,0
Varthur,12.9457,77.7489,East,Apartment,3,1810,7400,4881,5286,5913,6615,7400,10.46,0,3.3,13.1,43.1,51.60827699241959,25.147979029257566,10.963648514415514,133.94,44.64666666666667,603.3333333333334,25.15,0.1044776119402985,0.30910453353315853,0.14969669206957342,0.3684782608695652,0.08615384615384615,1,0,32,8206.0,10133.0,12478.0,10.89,36.93,68.62,14.31,41.6,Stable,123,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Marathahalli,12.9582,77.7011,East,Builder Floor,2,1050,9000,5683,6208,7026,7952,9000,14.7,0,3.3,9.6,36.8,58.36705965159247,28.095644748078563,12.180200876778668,94.5,47.25,525.0,28.3,0.2,0.46796553016110903,0.09494856952484072,0.43695652173913047,0.08615384615384615,1,1,23,10106.0,12719.0,16038.0,12.29,41.32,78.2,17.17,48.9,Stable,3,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Nagarbhavi,12.9638,77.5026,West,Apartment,1,510,6150,5013,5212,5508,5820,6150,5.85,0,16.1,7.0,43.5,22.681029323758228,11.655773420479303,5.243274667242348,31.365,31.365,510.0,12.149999999999999,0.029850746268656716,0.1363806669164481,0.0073085412068462875,0.0858695652173913,0.48000000000000004,4,0,25,6475.0,7180.0,7927.0,5.28,16.75,28.89,7.09,23.9,Stable,41,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Hennur,13.0387,77.6373,North,Builder Floor,3,1800,7950,5338,5761,6414,7141,7950,10.82,0,10.9,7.4,20.7,48.932184338703635,23.947614593077642,10.47070861483672,143.1,47.699999999999996,600.0,28.75,0.1373134328358209,0.32259273136005995,0.16241202681880648,0.44673913043478264,0.32,2,1,9,8778.0,10746.0,13122.0,10.42,35.17,65.06,13.98,43.1,Stable,35,Hennur offers steady 11.2% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 64.4%.,0
Electronic City,12.8447,77.6559,South,Villa,3,1740,7650,4749,5204,5917,6728,7650,15.05,0,0.9,16.7,53.4,61.08654453569172,29.28849078925131,12.658720988350769,133.11,44.370000000000005,580.0,22.400000000000002,0.11940298507462686,0.4810790558261522,0.1485445383750469,0.3086956521739131,0.012307692307692308,3,2,5,8605.0,10915.0,13817.0,12.48,42.68,80.61,17.77,47.7,High Growth,27,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Rajarajeshwari Nagar,12.9256,77.5075,West,Builder Floor,2,870,7350,5578,5880,6334,6823,7350,7.38,1,16.3,8.5,43.9,31.767658659017567,16.040416798231767,7.140139447101257,63.945,31.9725,435.0,36.75,0.10149253731343283,0.19370550768077932,0.05253404405946779,0.6206521739130435,0.48615384615384616,4,1,27,7888.0,9081.0,10457.0,7.32,23.55,42.27,9.46,40.1,Stable,119,Rajarajeshwari Nagar offers steady 7.6% annual appreciation. Investment score: 41/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 41.1%.,0
Itpl,12.9822,77.7321,East,Builder Floor,3,2070,10400,6624,7223,8156,9210,10400,11.64,0,1.6,13.0,38.5,57.00483091787439,27.513487003433056,11.938183205144703,215.28,71.76,690.0,29.15,0.2835820895522388,0.35331584863244664,0.2626077541331779,0.45543478260869563,0.03384615384615385,1,1,14,11620.0,14577.0,18280.0,11.73,40.16,75.77,15.71,43.7,Stable,100,Itpl offers steady 13.0% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 75.7%.,0
Itpl,12.9836,77.7255,East,Apartment,1,670,11700,7451,8125,9175,10361,11700,13.94,0,1.6,14.6,35.8,57.02590256341431,27.520435967302454,11.94193882687098,78.39,78.39,670.0,30.5,0.3611940298507463,0.4394904458598727,0.07258568275517428,0.4847826086956522,0.03384615384615385,1,0,14,13062.0,16460.0,20548.0,11.64,40.68,75.62,16.64,46.3,High Potential,29,Itpl offers steady 13.0% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 75.7%.,0
Sarjapur Road,12.9024,77.6862,East,Villa,2,1330,12350,7476,8233,9425,10789,12350,12.65,0,4.5,10.9,46.0,65.19529159978599,31.03448275862069,13.37033141826498,164.255,82.1275,665.0,22.5,0.4,0.39115773698014245,0.1917780646594206,0.31086956521739134,0.12307692307692308,1,2,30,14013.0,17993.0,23119.0,13.47,45.69,87.2,17.5,41.3,Stable,135,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Malleshwaram,13.0025,77.5689,North,Apartment,3,1370,14000,12730,12962,13299,13645,14000,2.9,1,14.2,3.5,29.6,9.97643362136685,5.271073013008497,2.405883319767499,191.8,63.93333333333334,456.6666666666667,46.0,0.49850746268656715,0.0258523791682278,0.230014297810908,0.8217391304347825,0.42153846153846153,2,0,21,14352.0,15021.0,15750.0,2.51,7.29,12.5,3.32,29.0,Stable,96,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Yelahanka,13.1044,77.6008,North,Apartment,1,550,9800,5605,6242,7255,8432,9800,14.25,0,21.7,5.4,12.4,74.84388938447815,35.079255685733976,14.990672718261777,53.9,53.9,550.0,23.8,0.24776119402985075,0.4511052828774822,0.0385902080817335,0.33913043478260874,0.6523076923076923,2,0,34,11282.0,14886.0,19737.0,15.12,51.9,101.4,19.72,48.5,Stable,116,Yelahanka is among the fastest appreciating micro-markets with 16.2% YoY growth. Investment score: 50/100. Projected 3-year ROI: 52.1%. Ideal for growth-oriented investors with a medium horizon.,0
Thanisandra,13.0651,77.6297,North,Builder Floor,3,1720,9100,5746,6276,7103,8040,9100,11.74,0,11.9,7.5,18.6,58.371040723981906,28.11488103618189,12.180905873909055,156.52,52.17333333333334,573.3333333333334,28.799999999999997,0.20597014925373133,0.35706257025103044,0.18104082510862174,0.4478260869565217,0.3507692307692308,2,1,31,10231.0,12863.0,16161.0,12.43,41.35,77.59,15.99,45.1,Stable,98,Thanisandra offers steady 13.1% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.7%.,0
Hebbal,13.0347,77.5921,North,Apartment,2,860,16150,10843,11703,13029,14506,16150,11.37,0,11.0,7.6,17.5,48.94401918288296,23.95425589070535,10.472903178541682,138.89,69.445,430.0,30.25,0.6268656716417911,0.34319970026227054,0.15656797012729215,0.47934782608695653,0.3230769230769231,2,0,8,17841.0,21786.0,26562.0,10.47,34.9,64.47,14.2,37.2,Premium,90,"Hebbal commands premium pricing at Rs 16,039/sqft with a 11.4% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Malleshwaram,13.0013,77.5679,North,Apartment,1,550,12800,11640,11852,12160,12476,12800,2.87,1,13.4,3.3,28.0,9.965635738831615,5.263157894736842,2.40336958255587,70.4,70.4,550.0,47.6,0.42686567164179107,0.024728362682652685,0.0614944682741293,0.856521739130435,0.39692307692307693,2,0,21,13114.0,13739.0,14378.0,2.45,7.34,12.33,3.3,30.9,Stable,13,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Whitefield,12.9666,77.7466,East,Apartment,4,2700,13950,6052,7117,8907,11147,13950,24.92,1,2.2,14.4,39.6,130.5023132848645,56.618390030313236,23.216486861448725,376.65,94.1625,675.0,53.0,0.4955223880597015,0.8508804795803673,0.48661141881480857,0.9739130434782608,0.05230769230769231,1,0,33,17182.0,26091.0,39650.0,23.17,87.03,184.23,32.25,86.6,High Growth,62,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Varthur,12.9433,77.7486,East,Apartment,2,1200,7350,4847,5250,5873,6570,7350,12.81,0,3.2,14.0,45.0,51.640189808128746,25.148986889153758,10.969487382592536,88.2,44.1,600.0,24.3,0.10149253731343283,0.3971524915698764,0.0862033065422896,0.35000000000000003,0.08307692307692308,1,0,32,8171.0,10030.0,12372.0,11.17,36.46,68.33,15.25,44.3,Stable,37,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Hsr Layout,12.9097,77.6397,South,Apartment,2,870,13150,7643,8484,9819,11363,13150,16.48,0,5.8,7.2,42.5,72.05285882506868,33.924024849781034,14.529001207606274,114.405,57.2025,435.0,22.95,0.44776119402985076,0.5346571749718996,0.12257943613875819,0.32065217391304346,0.16307692307692306,3,0,11,15078.0,19765.0,25878.0,14.66,50.3,96.79,20.16,47.3,High Growth,36,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
Banashankari,12.9266,77.5527,South,Apartment,1,600,8700,6805,7131,7620,8142,8700,7.2,1,10.8,5.1,34.6,27.84717119764879,14.173228346456693,6.334154151215432,52.2,52.2,600.0,46.900000000000006,0.18208955223880596,0.1869614087673286,0.036230375213426064,0.841304347826087,0.3169230769230769,3,0,1,9280.0,10519.0,11885.0,6.67,20.91,36.61,8.64,43.4,Stable,28,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Varthur,12.948,77.7459,East,Apartment,2,1330,7350,4847,5250,5873,6570,7350,11.88,0,3.8,13.5,44.8,51.640189808128746,25.148986889153758,10.969487382592536,97.755,48.8775,665.0,23.8,0.10149253731343283,0.36230798051704766,0.0994669553991588,0.33913043478260874,0.10153846153846154,1,0,32,8172.0,10031.0,12373.0,11.18,36.48,68.34,14.88,42.8,Stable,87,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Electronic City,12.842,77.6639,South,Apartment,2,1080,7050,4376,4796,5453,6200,7050,13.05,0,0.7,19.4,60.1,61.10603290676416,29.286631212176783,12.662128217933422,76.14,38.07,540.0,19.3,0.08358208955223881,0.4061446234544774,0.06946237454712031,0.24130434782608698,0.006153846153846152,3,0,5,7948.0,10077.0,12786.0,12.74,42.94,81.36,16.97,44.0,Stable,129,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Kr Puram,13.0058,77.6951,East,Apartment,3,2010,9050,4758,5387,6404,7613,9050,17.08,1,7.0,6.6,38.3,90.20596889449348,41.31792629606496,17.437293929331798,181.905,60.635,670.0,48.85,0.20298507462686566,0.557137504683402,0.2162786823803773,0.8836956521739132,0.2,1,0,20,10623.0,14681.0,20218.0,17.38,62.22,123.4,23.26,69.7,High Potential,126,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Gottigere,12.868,77.5985,South,Apartment,1,610,6850,5049,5352,5811,6309,6850,8.34,0,9.6,9.7,47.5,35.670429788076845,17.87988298055412,7.924811848671576,41.785,41.785,610.0,16.65,0.07164179104477612,0.22967403521918323,0.021772928552589565,0.18369565217391304,0.27999999999999997,3,0,7,7393.0,8628.0,10048.0,7.93,25.96,46.69,10.58,31.6,Stable,103,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Gottigere,12.8722,77.5965,South,Villa,3,2020,6450,4755,5040,5472,5941,6450,9.84,0,10.1,9.6,43.6,35.646687697160885,17.87280701754386,7.920089874860792,130.29,43.43,673.3333333333334,18.1,0.04776119402985075,0.28587485949793934,0.1446299920876192,0.21521739130434786,0.29538461538461536,3,2,7,6975.0,8125.0,9442.0,8.14,25.97,46.39,11.18,34.6,Stable,7,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Banashankari,12.933,77.5525,South,Apartment,2,1050,8200,6413,6721,7182,7674,8200,6.04,1,10.3,4.8,35.0,27.86527366287229,14.17432470064049,6.337918036073376,86.1,43.05,525.0,47.2,0.15223880597014924,0.14349943799175724,0.08328821888143921,0.8478260869565217,0.30153846153846153,3,0,1,8721.0,9860.0,11105.0,6.35,20.24,35.43,8.18,42.3,Stable,68,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
